AWB_Number,Date,Actual_Weight_Kg,Length_cm,Width_cm,Height_cm,Dim_Weight_Kg
BLU202400096,2024-03-08,2.0,20,15,8,0.48
BLU202400097,2024-03-07,1.0,25,15,15,1.12
BLU202400098,2024-03-04,1.0,30,20,15,1.8
BLU202400099,2024-03-02,0.5,20,8,10,0.32
BLU202400100,2024-03-16,1.0,15,10,10,0.3
BLU202400101,2024-03-20,0.5,30,10,8,0.48
BLU202400102,2024-03-08,0.75,10,8,15,0.24
BLU202400103,2024-03-22,2.0,15,8,8,0.19
BLU202400104,2024-03-21,2.0,15,15,10,0.45
BLU202400105,2024-03-03,0.2,30,10,5,0.3
BLU202400106,2024-03-06,1.5,10,20,15,0.6
BLU202400107,2024-03-01,1.0,20,8,10,0.32
BLU202400108,2024-03-18,2.0,30,20,8,0.96
BLU202400109,2024-03-26,1.0,10,15,8,0.24
BLU202400110,2024-03-06,1.0,10,15,10,0.3
BLU202400111,2024-03-28,0.5,25,20,10,1.0
BLU202400112,2024-03-04,1.5,15,10,15,0.45
BLU202400113,2024-03-09,0.75,25,10,15,0.75
BLU202400114,2024-03-19,1.2,30,8,10,0.48
BLU202400115,2024-03-22,0.75,10,20,10,0.4
BLU202400116,2024-03-17,1.5,20,8,10,0.32
BLU202400117,2024-03-05,0.75,25,10,15,0.75
BLU202400118,2024-03-18,1.5,25,10,8,0.4
BLU202400119,2024-03-23,2.0,20,8,5,0.16
BLU202400120,2024-03-18,0.75,15,10,10,0.3
BLU202400121,2024-03-07,0.3,30,20,5,0.6
BLU202400122,2024-03-05,0.2,30,20,15,1.8
BLU202400123,2024-03-26,2.0,20,8,15,0.48
BLU202400124,2024-03-07,0.2,30,8,5,0.24
BLU202400125,2024-03-03,1.2,30,8,5,0.24
BLU202400126,2024-03-14,0.2,15,10,15,0.45
BLU202400127,2024-03-28,1.5,25,20,5,0.5
BLU202400128,2024-03-06,1.2,30,20,8,0.96
BLU202400129,2024-03-01,0.2,20,20,15,1.2
BLU202400130,2024-03-15,0.75,20,10,10,0.4
BLU202400131,2024-03-26,0.3,25,8,8,0.32
BLU202400132,2024-03-20,0.3,10,20,5,0.2
BLU202400133,2024-03-15,0.2,15,10,5,0.15
BLU202400134,2024-03-27,1.0,30,15,10,0.9
BLU202400135,2024-03-22,1.0,30,10,15,0.9
BLU202400136,2024-03-18,1.0,30,10,15,0.9
BLU202400137,2024-03-21,0.2,25,15,15,1.12
BLU202400138,2024-03-13,0.5,15,20,8,0.48
BLU202400139,2024-03-23,1.0,15,20,5,0.3
BLU202400140,2024-03-17,1.5,15,20,8,0.48
BLU202400141,2024-03-21,0.75,10,20,10,0.4
BLU202400142,2024-03-09,0.75,25,8,5,0.2
BLU202400143,2024-03-07,0.75,20,15,5,0.3
BLU202400144,2024-03-04,0.75,25,10,8,0.4
BLU202400145,2024-03-11,0.75,20,20,15,1.2
BLU202400146,2024-03-12,1.0,30,20,15,1.8
BLU202400147,2024-03-27,2.0,20,10,10,0.4
BLU202400148,2024-03-19,1.5,15,10,5,0.15
BLU202400149,2024-03-05,1.5,15,15,8,0.36
BLU202400150,2024-03-18,0.75,20,15,15,0.9
BLU202400151,2024-03-24,2.0,20,10,8,0.32
BLU202400152,2024-03-21,0.5,10,8,5,0.08
BLU202400153,2024-03-05,0.2,15,8,8,0.19
BLU202400154,2024-03-15,0.75,20,8,15,0.48
BLU202400155,2024-03-18,0.2,30,20,5,0.6
BLU202400156,2024-03-10,1.0,10,20,8,0.32
BLU202400157,2024-03-05,0.3,15,10,10,0.3
BLU202400158,2024-03-13,1.0,10,15,15,0.45
BLU202400159,2024-03-08,0.75,20,8,5,0.16
BLU202400160,2024-03-13,1.5,30,20,5,0.6
BLU202400161,2024-03-16,0.5,25,15,5,0.38
BLU202400162,2024-03-28,0.75,30,20,10,1.2
BLU202400163,2024-03-09,0.3,30,8,8,0.38
BLU202400164,2024-03-19,0.2,15,20,5,0.3
BLU202400165,2024-03-08,0.5,30,20,10,1.2
BLU202400166,2024-03-23,0.5,10,15,5,0.15
BLU202400167,2024-03-27,1.5,10,15,15,0.45
BLU202400168,2024-03-09,0.2,25,20,8,0.8
BLU202400169,2024-03-06,1.5,30,20,5,0.6
BLU202400170,2024-03-03,0.75,10,15,8,0.24
BLU202400171,2024-03-13,0.5,20,15,5,0.3
BLU202400172,2024-03-15,0.2,20,15,5,0.3
BLU202400173,2024-03-14,0.3,25,20,5,0.5
BLU202400174,2024-03-18,0.3,10,15,15,0.45
BLU202400175,2024-03-13,1.0,10,10,8,0.16
BLU202400176,2024-03-09,0.5,20,15,15,0.9
BLU202400177,2024-03-14,0.3,20,20,10,0.8
BLU202400178,2024-03-09,0.3,15,20,8,0.48
BLU202400179,2024-03-10,0.3,10,20,10,0.4
BLU202400180,2024-03-11,1.2,25,10,10,0.5
BLU202400181,2024-03-11,0.75,15,20,10,0.6
BLU202400182,2024-03-26,2.0,15,15,15,0.68
BLU202400183,2024-03-04,1.5,30,10,8,0.48
BLU202400184,2024-03-07,2.0,25,15,5,0.38
BLU202400185,2024-03-21,2.0,20,10,10,0.4
BLU202400186,2024-03-13,1.5,10,20,15,0.6
BLU202400187,2024-03-02,1.5,20,8,5,0.16
BLU202400188,2024-03-21,1.2,30,8,15,0.72
BLU202400189,2024-03-01,1.5,10,15,8,0.24
BLU202400190,2024-03-13,2.0,25,10,10,0.5
BLU202400191,2024-03-10,2.0,25,8,5,0.2
BLU202400192,2024-03-11,1.2,25,10,15,0.75
BLU202400193,2024-03-15,2.0,25,15,5,0.38
BLU202400194,2024-03-23,0.2,10,8,10,0.16
BLU202400195,2024-03-08,0.5,30,10,8,0.48
BLU202400196,2024-03-08,1.5,25,10,8,0.4
BLU202400197,2024-03-24,1.5,30,10,15,0.9
BLU202400198,2024-03-23,1.5,15,10,10,0.3
BLU202400199,2024-03-28,0.3,30,10,10,0.6
BLU202400200,2024-03-04,0.75,20,20,10,0.8
