AWB_Number,Date,Origin_Pincode,Dest_Pincode,Billed_Weight_Kg,Zone,Forward_Charge,RTO_Charge,COD_Amount,COD_Fee,Fuel_Surcharge,ODA_Charge,Docket_Charge,Handling_Charge,Total
ECO202400064,2024-03-04,411001,400001,0.3,A,35.0,0.0,799,22,0,0,15,0,72.0
ECO202400065,2024-03-22,400001,560001,0.2,B,39.0,0.0,499,22,0,0,15,0,76.0
ECO202400066,2024-03-13,560001,600001,1.2,B,54.0,0.0,1499,22,0,0,15,0,91.0
ECO202400067,2024-03-07,560001,600001,0.75,B,44.0,0.0,0,0,0,0,15,0,59.0
ECO202400068,2024-03-15,400001,560001,0.5,B,39.0,0.0,499,22,0,0,15,0,76.0
ECO202400069,2024-03-10,700001,500001,0.75,C,50.0,0.0,499,22,0,0,15,0,87.0
ECO202400070,2024-03-22,400001,560001,0.5,B,39.0,0.0,1499,22,0,0,15,0,76.0
ECO202400071,2024-03-23,700001,500001,0.5,C,44.0,0.0,0,0,0,0,15,0,59.0
ECO202400072,2024-03-27,400001,110001,1.0,B,44.0,0.0,0,0,0,0,15,0,59.0
ECO202400073,2024-03-15,411001,400001,0.75,A,39.0,0.0,0,0,0,0,15,0,54.0
ECO202400074,2024-03-25,400001,110001,0.2,B,39.0,0.0,1499,22,0,0,15,0,76.0
ECO202400075,2024-03-21,380001,400001,1.2,A,48.0,0.0,999,22,0,0,15,0,85.0
ECO202400076,2024-03-21,400001,110001,0.3,B,39.0,0.0,0,0,0,0,15,0,54.0
ECO202400077,2024-03-15,700001,500001,0.3,C,44.0,0.0,0,0,0,0,15,0,59.0
ECO202400078,2024-03-13,380001,400001,2.0,A,57.0,0.0,0,60,0,0,15,0,132.0
ECO202400079,2024-03-09,110001,302001,0.5,A,35.0,0.0,0,0,0,0,15,0,50.0
ECO202400080,2024-03-14,110001,302001,1.0,A,39.0,0.0,499,22,0,0,15,0,76.0
ECO202400081,2024-03-05,400001,560001,1.0,B,44.0,0.0,499,22,0,0,15,0,81.0
ECO202400082,2024-03-23,400001,110001,1.5,B,54.0,0.0,1499,22,0,0,15,0,91.0
ECO202400083,2024-03-09,700001,500001,1.2,C,62.0,0.0,499,22,0,0,15,0,99.0
ECO202400084,2024-03-25,110001,302001,0.2,A,35.0,0.0,1499,22,0,0,15,0,72.0
ECO202400085,2024-03-04,700001,500001,0.75,C,50.0,0.0,0,0,0,0,15,0,65.0
ECO202400086,2024-03-28,400001,110001,0.75,B,44.0,0.0,799,22,0,0,15,0,81.0
ECO202400087,2024-03-11,110001,400001,0.75,B,44.0,0.0,799,22,0,0,15,0,81.0
ECO202400088,2024-03-26,110001,400001,0.75,B,44.0,0.0,1499,22,0,0,15,0,81.0
ECO202400089,2024-03-02,411001,400001,0.2,A,35.0,0.0,0,0,0,0,15,0,50.0
ECO202400090,2024-03-20,411001,400001,0.2,A,35.0,0.0,0,0,0,0,15,0,50.0
ECO202400091,2024-03-01,110001,400001,1.2,B,54.0,0.0,0,0,0,0,15,0,69.0
ECO202400092,2024-03-23,700001,500001,0.3,C,44.0,92.5,0,0,0,0,15,0,151.5
ECO202400093,2024-03-06,560001,600001,1.2,B,54.0,0.0,0,0,0,0,15,0,69.0
ECO202400094,2024-03-22,110001,400001,1.2,B,54.0,0.0,0,0,0,0,15,0,69.0
ECO202400095,2024-03-06,560001,600001,1.0,B,44.0,0.0,0,0,0,0,15,0,59.0
ECO202400096,2024-03-20,110001,400001,1.2,B,54.0,0.0,1499,22,0,0,15,0,91.0
ECO202400097,2024-03-03,110001,400001,1.2,B,54.0,0.0,999,22,0,0,15,0,91.0
ECO202400098,2024-03-23,110001,400001,0.3,B,39.0,0.0,1499,22,0,0,15,0,76.0
ECO202400099,2024-03-23,560001,600001,0.75,B,44.0,0.0,0,0,0,0,15,0,59.0
ECO202400100,2024-03-13,400001,560001,0.2,B,39.0,0.0,0,0,0,0,15,0,54.0
ECO202400101,2024-03-12,380001,400001,2.0,A,57.0,0.0,499,22,0,0,15,0,94.0
ECO202400102,2024-03-15,411001,400001,0.75,A,39.0,0.0,0,0,0,0,15,0,54.0
ECO202400103,2024-03-04,400001,110001,1.2,B,54.0,0.0,0,0,0,0,15,0,69.0
ECO202400104,2024-03-03,380001,400001,0.5,A,35.0,0.0,999,22,0,0,15,0,72.0
ECO202400105,2024-03-21,411001,400001,0.2,A,35.0,0.0,499,22,0,0,15,50,122.0
ECO202400106,2024-03-07,400001,110001,0.3,B,39.0,0.0,0,0,0,0,15,0,54.0
ECO202400107,2024-03-04,560001,600001,1.0,B,44.0,0.0,0,0,0,0,15,0,59.0
ECO202400108,2024-03-01,110001,400001,0.2,B,39.0,0.0,0,0,0,0,15,0,54.0
ECO202400109,2024-03-01,411001,400001,0.75,A,39.0,0.0,0,0,0,0,15,0,54.0
ECO202400110,2024-03-04,400001,560001,2.0,B,64.0,0.0,1499,22,0,0,15,0,101.0
ECO202400111,2024-03-21,411001,400001,1.0,A,39.0,0.0,0,0,0,0,15,0,54.0
ECO202400112,2024-03-06,700001,500001,1.5,C,62.0,0.0,0,0,0,0,15,0,77.0
ECO202400113,2024-03-08,411001,400001,2.0,A,57.0,0.0,0,0,0,0,15,0,72.0
ECO202400114,2024-03-12,400001,560001,0.3,B,39.0,0.0,999,22,0,0,15,0,76.0
ECO202400115,2024-03-17,400001,110001,1.5,B,54.0,0.0,1499,22,0,0,15,0,91.0
ECO202400116,2024-03-13,411001,400001,1.0,A,39.0,0.0,0,0,0,0,15,0,54.0
ECO202400117,2024-03-07,411001,400001,0.5,A,35.0,0.0,0,0,0,0,15,0,50.0
ECO202400118,2024-03-14,380001,400001,0.3,A,35.0,0.0,999,22,0,0,15,0,72.0
ECO202400119,2024-03-13,700001,500001,0.3,C,44.0,0.0,0,0,0,0,15,0,59.0
ECO202400120,2024-03-01,560001,600001,2.0,B,64.0,0.0,0,35,0,0,15,0,114.0
ECO202400121,2024-03-19,380001,400001,0.5,A,35.0,0.0,0,0,0,0,15,0,50.0
ECO202400122,2024-03-18,400001,560001,1.0,B,44.0,0.0,1499,22,0,0,15,0,81.0
ECO202400123,2024-03-20,380001,400001,2.0,A,57.0,0.0,799,22,0,0,15,0,94.0
ECO202400124,2024-03-20,560001,600001,1.5,B,54.0,0.0,0,0,0,0,15,0,69.0
ECO202400125,2024-03-08,380001,400001,1.2,A,48.0,0.0,999,22,0,0,15,0,85.0
ECO202400126,2024-03-27,700001,500001,0.2,C,44.0,0.0,0,0,0,0,15,0,59.0
ECO202400127,2024-03-08,411001,400001,0.3,A,35.0,0.0,1499,22,0,0,15,0,72.0
ECO202400128,2024-03-14,700001,500001,1.0,C,50.0,0.0,999,22,0,0,15,0,87.0
ECO202400129,2024-03-14,411001,400001,0.75,A,39.0,0.0,1499,22,0,0,15,0,76.0
ECO202400130,2024-03-23,110001,400001,0.3,B,39.0,0.0,0,0,0,0,15,0,54.0
ECO202400131,2024-03-27,400001,110001,0.5,B,39.0,0.0,0,0,0,0,15,0,54.0
ECO202400132,2024-03-12,400001,110001,2.0,B,64.0,0.0,0,0,0,0,15,0,79.0
ECO202400133,2024-03-04,411001,400001,1.5,A,48.0,0.0,999,22,0,0,15,0,85.0
ECO202400134,2024-03-28,411001,400001,2.0,A,57.0,0.0,0,0,0,0,15,0,72.0
ECO202400135,2024-03-27,110001,400001,1.0,B,44.0,0.0,999,22,0,0,15,0,81.0
ECO202400136,2024-03-28,380001,400001,0.2,A,35.0,0.0,0,0,0,0,15,0,50.0
ECO202400137,2024-03-21,110001,302001,0.75,A,39.0,0.0,0,0,0,0,15,0,54.0
ECO202400138,2024-03-06,411001,400001,0.5,A,35.0,0.0,999,22,0,0,15,0,72.0
ECO202400139,2024-03-23,560001,600001,1.0,B,44.0,0.0,999,22,0,0,15,0,81.0
ECO202400140,2024-03-07,700001,500001,2.8,C,98.0,0.0,0,0,0,0,15,0,113.0
ECO202400141,2024-03-22,400001,560001,0.2,B,39.0,0.0,799,22,0,0,15,0,76.0
ECO202400142,2024-03-11,400001,560001,2.0,B,64.0,0.0,0,0,0,0,15,0,79.0
ECO202400143,2024-03-05,560001,600001,1.0,B,44.0,0.0,0,0,0,0,15,0,59.0
ECO202400144,2024-03-05,380001,400001,1.2,A,48.0,0.0,999,22,0,0,15,0,85.0
ECO202400145,2024-03-13,560001,600001,1.5,B,54.0,0.0,499,22,0,0,15,0,91.0
ECO202400146,2024-03-12,110001,302001,2.0,A,57.0,0.0,999,22,0,0,15,0,94.0
ECO202400147,2024-03-16,110001,400001,1.0,B,44.0,0.0,0,0,0,0,15,0,59.0
ECO202400148,2024-03-12,700001,500001,0.3,C,44.0,0.0,0,0,0,0,15,0,59.0
ECO202400149,2024-03-19,700001,500001,1.2,C,62.0,0.0,0,0,0,0,15,0,77.0
ECO202400150,2024-03-21,411001,400001,0.2,A,35.0,0.0,1499,22,0,0,15,0,72.0
ECO202400151,2024-03-22,110001,302001,0.3,A,35.0,0.0,1499,22,0,0,15,0,72.0
ECO202400152,2024-03-07,400001,110001,0.5,B,39.0,0.0,0,0,0,0,15,0,54.0
ECO202400153,2024-03-23,110001,400001,1.2,B,54.0,0.0,1499,22,0,0,15,0,91.0
ECO202400154,2024-03-21,700001,500001,0.5,C,44.0,0.0,0,0,0,0,15,0,59.0
ECO202400155,2024-03-25,560001,600001,0.75,B,44.0,0.0,1499,22,0,0,15,0,81.0
ECO202400156,2024-03-14,400001,560001,0.5,B,39.0,0.0,799,22,0,0,15,0,76.0
ECO202400157,2024-03-02,411001,400001,1.5,A,48.0,0.0,0,0,0,0,15,0,63.0
ECO202400158,2024-03-27,400001,110001,1.2,B,54.0,0.0,1499,22,0,0,15,0,91.0
ECO202400159,2024-03-23,400001,110001,0.75,B,44.0,0.0,0,0,0,0,15,0,59.0
ECO202400160,2024-03-19,400001,560001,1.5,E,87.5,0.0,799,22,0,0,15,0,124.5
ECO202400161,2024-03-15,400001,110001,1.0,B,44.0,0.0,0,0,0,0,15,0,59.0
ECO202400162,2024-03-12,110001,400001,1.2,B,54.0,0.0,499,22,0,0,15,0,91.0
ECO202400163,2024-03-24,400001,110001,0.75,B,44.0,0.0,0,0,0,0,15,0,59.0
ECO202400164,2024-03-23,110001,400001,0.3,B,39.0,0.0,0,0,0,0,15,0,54.0
ECO202400165,2024-03-04,400001,110001,0.2,B,39.0,0.0,999,22,0,0,15,0,76.0
ECO202400166,2024-03-04,380001,400001,2.0,A,57.0,0.0,499,22,0,0,15,0,94.0
ECO202400167,2024-03-22,110001,400001,0.75,B,44.0,0.0,999,22,0,0,15,0,81.0
ECO202400168,2024-03-20,400001,560001,1.0,B,44.0,0.0,799,22,0,0,15,0,81.0
ECO202400169,2024-03-26,400001,560001,1.0,B,44.0,0.0,0,0,0,0,15,0,59.0
ECO202400170,2024-03-17,110001,302001,1.0,A,39.0,0.0,1499,22,0,0,15,0,76.0
ECO202400171,2024-03-18,560001,600001,0.5,B,39.0,0.0,0,0,0,0,15,0,54.0
ECO202400172,2024-03-01,700001,500001,0.75,C,50.0,0.0,0,0,0,0,15,0,65.0
ECO202400173,2024-03-17,110001,400001,0.3,B,39.0,0.0,1499,22,0,0,15,0,76.0
ECO202400174,2024-03-09,110001,302001,2.0,A,57.0,0.0,0,0,0,0,15,0,72.0
ECO202400175,2024-03-10,110001,400001,0.2,B,39.0,0.0,1499,22,0,0,15,0,76.0
ECO202400176,2024-03-25,400001,560001,0.3,B,39.0,0.0,1499,22,0,0,15,0,76.0
ECO202400177,2024-03-15,110001,400001,1.2,B,54.0,0.0,0,0,0,0,15,0,69.0
ECO202400178,2024-03-04,700001,500001,1.2,C,62.0,0.0,0,0,0,0,15,0,77.0
ECO202400179,2024-03-28,560001,600001,1.5,B,54.0,0.0,999,22,0,0,15,0,91.0
ECO202400180,2024-03-24,400001,560001,0.5,B,39.0,0.0,999,22,0,0,15,0,76.0
ECO202400181,2024-03-19,380001,400001,2.0,A,57.0,0.0,1499,22,0,0,15,0,94.0
ECO202400182,2024-03-22,700001,500001,0.2,C,44.0,0.0,1499,22,0,0,15,0,81.0
ECO202400183,2024-03-02,400001,560001,1.5,B,54.0,0.0,499,22,0,0,15,0,91.0
ECO202400184,2024-03-28,400001,110001,0.75,B,44.0,0.0,999,22,0,0,15,0,81.0
ECO202400185,2024-03-22,110001,302001,2.0,A,57.0,0.0,0,0,0,0,15,0,72.0
ECO202400186,2024-03-28,400001,110001,0.5,B,39.0,0.0,799,22,0,0,15,0,76.0
ECO202400187,2024-03-08,400001,560001,2.0,B,64.0,0.0,0,0,0,0,15,0,79.0
ECO202400188,2024-03-27,110001,302001,1.5,A,48.0,0.0,499,22,0,0,15,0,85.0
ECO202400189,2024-03-28,411001,400001,2.0,A,57.0,0.0,0,0,0,0,15,0,72.0
ECO202400190,2024-03-21,400001,560001,2.0,B,64.0,0.0,999,22,0,0,15,0,101.0
ECO202400191,2024-03-18,380001,400001,0.2,A,35.0,0.0,799,22,0,0,15,0,72.0
ECO202400192,2024-03-12,110001,302001,2.0,A,57.0,0.0,0,0,0,0,15,0,72.0
ECO202400193,2024-03-22,700001,500001,2.0,C,74.0,0.0,999,22,0,0,15,0,111.0
ECO202400194,2024-03-11,400001,560001,0.75,B,44.0,0.0,0,0,0,0,15,0,59.0
ECO202400195,2024-03-16,400001,560001,0.2,B,39.0,0.0,0,0,0,0,15,0,54.0
ECO202400196,2024-03-04,560001,600001,0.75,B,44.0,0.0,0,0,0,0,15,0,59.0
ECO202400197,2024-03-25,110001,302001,1.2,A,48.0,0.0,0,0,0,0,15,0,63.0
ECO202400198,2024-03-19,411001,400001,2.0,A,57.0,0.0,999,22,0,0,15,0,94.0
ECO202400199,2024-03-14,400001,110001,0.2,B,39.0,0.0,799,22,0,0,15,0,76.0
ECO202400200,2024-03-13,110001,400001,0.5,B,39.0,0.0,0,0,0,0,15,0,54.0
