AWB_Number,Date,Origin_Pincode,Dest_Pincode,Billed_Weight_Kg,Zone,Forward_Charge,RTO_Charge,COD_Amount,COD_Fee,Fuel_Surcharge,ODA_Charge,Docket_Charge,Handling_Charge,Total
SHA202400140,2024-03-15,110001,302001,1.0,A,36.0,0.0,0,0.0,0,0,15,0,51.0
SHA202400141,2024-03-06,380001,400001,1.0,A,36.0,0.0,0,0.0,0,0,15,0,51.0
SHA202400142,2024-03-12,411001,400001,1.0,A,36.0,0.0,0,0.0,0,0,15,0,51.0
SHA202400143,2024-03-01,110001,302001,1.5,A,44.0,0.0,0,0.0,0,0,15,0,59.0
SHA202400144,2024-03-02,380001,400001,0.75,A,36.0,0.0,0,0.0,0,0,15,0,51.0
SHA202400145,2024-03-06,700001,500001,0.3,C,42.0,0.0,0,0.0,0,0,15,0,57.0
SHA202400146,2024-03-21,400001,110001,0.2,B,36.0,0.0,0,0.0,0,0,15,0,51.0
SHA202400147,2024-03-18,411001,400001,0.75,A,36.0,0.0,0,0.0,0,0,15,0,51.0
SHA202400148,2024-03-24,400001,110001,1.5,B,50.0,0.0,0,0.0,0,0,15,0,65.0
SHA202400149,2024-03-10,411001,400001,2.0,A,52.0,0.0,799,20.0,0,0,15,0,87.0
SHA202400150,2024-03-24,110001,400001,1.2,B,50.0,0.0,0,0.0,0,0,15,0,65.0
SHA202400151,2024-03-10,400001,560001,0.5,B,36.0,0.0,499,20.0,0,0,15,0,71.0
SHA202400152,2024-03-06,400001,110001,1.5,B,50.0,0.0,999,20.0,0,0,15,0,85.0
SHA202400153,2024-03-18,700001,500001,0.3,C,42.0,0.0,999,20.0,0,0,15,0,77.0
SHA202400154,2024-03-14,110001,400001,1.0,B,41.0,0.0,0,0.0,0,0,15,0,56.0
SHA202400155,2024-03-05,400001,560001,0.2,B,36.0,0.0,1499,20.0,0,0,15,0,71.0
SHA202400156,2024-03-04,400001,560001,2.0,B,59.0,0.0,0,0.0,0,0,15,0,74.0
SHA202400157,2024-03-08,560001,600001,0.2,B,36.0,0.0,0,0.0,0,0,15,0,51.0
SHA202400158,2024-03-03,110001,302001,2.0,A,52.0,0.0,1499,20.0,0,0,15,0,87.0
SHA202400159,2024-03-23,380001,400001,1.2,A,44.0,0.0,1499,20.0,0,0,15,0,79.0
SHA202400160,2024-03-07,400001,560001,1.0,E,69.0,0.0,0,0.0,0,0,15,0,84.0
SHA202400161,2024-03-07,110001,302001,1.5,A,44.0,0.0,0,0.0,0,0,15,0,59.0
SHA202400162,2024-03-21,380001,400001,0.3,A,32.0,0.0,1499,20.0,0,0,15,0,67.0
SHA202400163,2024-03-26,380001,400001,0.3,A,32.0,0.0,0,0.0,0,0,15,0,47.0
SHA202400164,2024-03-11,110001,400001,2.0,B,59.0,0.0,0,0.0,0,0,15,0,74.0
SHA202400165,2024-03-24,380001,400001,1.5,A,44.0,0.0,1499,20.0,0,0,15,0,79.0
SHA202400166,2024-03-15,380001,400001,1.0,A,36.0,0.0,0,0.0,0,0,15,0,51.0
SHA202400167,2024-03-01,400001,110001,1.0,B,41.0,0.0,799,20.0,0,0,15,0,76.0
SHA202400168,2024-03-07,400001,110001,1.0,B,41.0,0.0,0,0.0,0,0,15,0,56.0
SHA202400169,2024-03-15,110001,400001,0.3,B,36.0,0.0,0,0.0,0,0,15,0,51.0
SHA202400170,2024-03-08,560001,600001,1.2,B,50.0,0.0,799,20.0,0,0,15,0,85.0
SHA202400171,2024-03-07,400001,560001,1.5,B,50.0,0.0,799,20.0,0,0,15,0,85.0
SHA202400172,2024-03-23,110001,400001,2.0,B,59.0,0.0,1499,20.0,0,0,15,0,94.0
SHA202400173,2024-03-25,400001,110001,1.5,B,50.0,0.0,0,0.0,0,0,15,0,65.0
SHA202400174,2024-03-04,380001,400001,1.5,A,44.0,0.0,1499,20.0,0,0,15,0,79.0
SHA202400175,2024-03-02,400001,110001,1.0,B,41.0,0.0,799,20.0,0,0,15,0,76.0
SHA202400176,2024-03-22,110001,302001,0.5,A,32.0,0.0,0,0.0,0,0,15,0,47.0
SHA202400177,2024-03-26,110001,302001,1.5,A,44.0,0.0,0,0.0,0,0,15,0,59.0
SHA202400178,2024-03-19,700001,500001,0.3,C,42.0,0.0,499,20.0,0,0,15,0,77.0
SHA202400179,2024-03-14,400001,560001,1.5,B,50.0,0.0,799,20.0,0,0,15,0,85.0
SHA202400180,2024-03-21,110001,302001,2.0,A,52.0,0.0,499,20.0,0,0,15,0,87.0
SHA202400181,2024-03-25,110001,302001,0.3,A,32.0,0.0,0,0.0,0,0,15,0,47.0
SHA202400182,2024-03-12,400001,560001,1.5,B,50.0,0.0,499,20.0,0,0,15,0,85.0
SHA202400183,2024-03-10,700001,500001,0.2,C,42.0,0.0,1499,20.0,0,0,15,0,77.0
SHA202400184,2024-03-27,110001,400001,2.0,B,59.0,0.0,0,0.0,0,0,15,0,74.0
SHA202400185,2024-03-24,110001,400001,0.3,B,36.0,0.0,0,0.0,0,0,15,0,51.0
SHA202400186,2024-03-23,560001,600001,0.2,B,36.0,0.0,0,0.0,0,0,15,0,51.0
SHA202400187,2024-03-07,411001,400001,0.2,A,32.0,0.0,0,0.0,0,0,15,0,47.0
SHA202400188,2024-03-24,560001,600001,2.0,B,59.0,0.0,799,20.0,0,0,15,0,94.0
SHA202400189,2024-03-02,400001,110001,1.0,B,41.0,0.0,0,0.0,0,0,15,0,56.0
SHA202400190,2024-03-01,400001,110001,2.0,B,59.0,0.0,999,20.0,0,0,15,0,94.0
SHA202400191,2024-03-10,700001,500001,0.3,C,42.0,0.0,0,0.0,0,0,15,0,57.0
SHA202400192,2024-03-28,400001,560001,1.2,B,50.0,0.0,499,20.0,0,0,15,0,85.0
SHA202400193,2024-03-23,110001,302001,2.0,A,52.0,0.0,799,20.0,0,0,15,0,87.0
SHA202400194,2024-03-13,560001,600001,1.2,B,50.0,0.0,499,20.0,0,0,15,0,85.0
SHA202400195,2024-03-10,700001,500001,1.2,C,59.0,0.0,999,20.0,0,0,15,0,94.0
SHA202400196,2024-03-01,560001,600001,1.5,B,50.0,0.0,1499,20.0,0,0,15,0,85.0
SHA202400197,2024-03-22,110001,400001,1.2,B,50.0,0.0,499,20.0,0,0,15,0,85.0
SHA202400198,2024-03-19,110001,302001,1.5,A,44.0,0.0,0,0.0,0,0,15,0,59.0
SHA202400199,2024-03-05,700001,500001,2.0,C,70.0,0.0,799,20.0,0,0,15,0,105.0
SHA202400200,2024-03-23,110001,400001,1.0,B,41.0,0.0,999,20.0,0,0,15,0,76.0
