AWB_Number,Date,Actual_Weight_Kg,Length_cm,Width_cm,Height_cm,Dim_Weight_Kg
SHA202400062,2024-03-19,0.5,15,15,8,0.36
SHA202400064,2024-03-19,2.0,10,10,15,0.3
SHA202400065,2024-03-01,0.5,15,20,8,0.48
SHA202400066,2024-03-20,0.5,30,8,5,0.24
SHA202400067,2024-03-05,2.0,30,8,15,0.72
SHA202400068,2024-03-02,1.2,30,20,8,0.96
SHA202400069,2024-03-19,1.5,30,8,15,0.72
SHA202400070,2024-03-25,1.0,15,8,10,0.24
SHA202400071,2024-03-01,1.0,10,8,5,0.08
SHA202400072,2024-03-26,0.75,20,20,10,0.8
SHA202400073,2024-03-21,0.5,30,15,10,0.9
SHA202400074,2024-03-09,1.2,25,10,15,0.75
SHA202400075,2024-03-18,0.5,30,20,10,1.2
SHA202400076,2024-03-23,1.2,25,10,5,0.25
SHA202400077,2024-03-23,2.0,15,8,8,0.19
SHA202400078,2024-03-18,1.2,30,8,8,0.38
SHA202400079,2024-03-03,0.2,15,20,15,0.9
SHA202400080,2024-03-08,0.3,20,8,5,0.16
SHA202400081,2024-03-21,1.5,30,15,5,0.45
SHA202400082,2024-03-01,2.0,15,15,8,0.36
SHA202400083,2024-03-06,0.75,10,15,8,0.24
SHA202400084,2024-03-09,0.5,25,15,15,1.12
SHA202400085,2024-03-01,0.75,10,8,10,0.16
SHA202400086,2024-03-09,1.2,15,10,15,0.45
SHA202400087,2024-03-06,0.2,25,8,5,0.2
SHA202400088,2024-03-26,1.2,30,15,10,0.9
SHA202400089,2024-03-16,1.5,15,15,15,0.68
SHA202400090,2024-03-04,0.2,20,8,15,0.48
SHA202400091,2024-03-11,0.75,25,15,5,0.38
SHA202400092,2024-03-03,0.75,25,15,5,0.38
SHA202400093,2024-03-12,2.0,15,15,8,0.36
SHA202400094,2024-03-07,2.0,15,10,10,0.3
SHA202400095,2024-03-27,0.75,15,15,8,0.36
SHA202400096,2024-03-22,0.3,25,8,5,0.2
SHA202400097,2024-03-11,1.2,25,15,15,1.12
SHA202400098,2024-03-08,1.0,30,10,5,0.3
SHA202400099,2024-03-02,2.0,30,15,15,1.35
SHA202400100,2024-03-23,2.0,30,20,10,1.2
SHA202400101,2024-03-07,0.2,25,8,10,0.4
SHA202400102,2024-03-18,1.0,20,10,10,0.4
SHA202400103,2024-03-06,1.2,25,20,8,0.8
SHA202400104,2024-03-28,1.2,25,15,15,1.12
SHA202400105,2024-03-22,0.5,15,8,10,0.24
SHA202400106,2024-03-13,1.5,15,10,8,0.24
SHA202400107,2024-03-14,0.2,25,10,10,0.5
SHA202400108,2024-03-18,1.0,30,8,15,0.72
SHA202400109,2024-03-07,0.5,20,20,5,0.4
SHA202400110,2024-03-12,1.2,20,15,10,0.6
SHA202400111,2024-03-12,1.5,30,10,8,0.48
SHA202400112,2024-03-22,1.2,30,20,15,1.8
SHA202400113,2024-03-10,1.5,25,10,8,0.4
SHA202400114,2024-03-20,1.5,30,20,5,0.6
SHA202400115,2024-03-08,0.5,20,15,10,0.6
SHA202400116,2024-03-15,1.5,20,20,15,1.2
SHA202400117,2024-03-01,0.5,15,10,10,0.3
SHA202400118,2024-03-13,0.75,10,8,5,0.08
SHA202400119,2024-03-25,0.2,25,8,5,0.2
SHA202400120,2024-03-21,0.5,25,15,8,0.6
SHA202400121,2024-03-21,1.0,15,10,8,0.24
SHA202400122,2024-03-12,0.2,20,20,15,1.2
SHA202400123,2024-03-23,2.0,30,10,15,0.9
SHA202400124,2024-03-16,1.0,30,10,5,0.3
SHA202400125,2024-03-14,1.0,20,10,10,0.4
SHA202400126,2024-03-27,0.2,15,15,10,0.45
SHA202400127,2024-03-16,0.2,25,15,5,0.38
SHA202400128,2024-03-08,1.0,10,15,8,0.24
SHA202400129,2024-03-08,1.5,15,20,15,0.9
SHA202400130,2024-03-14,1.0,15,15,10,0.45
SHA202400131,2024-03-28,1.5,10,10,8,0.16
SHA202400132,2024-03-15,0.3,30,20,10,1.2
SHA202400133,2024-03-01,0.75,15,8,5,0.12
SHA202400134,2024-03-09,0.3,15,20,5,0.3
SHA202400135,2024-03-01,0.3,25,10,10,0.5
SHA202400136,2024-03-26,1.0,25,15,15,1.12
SHA202400137,2024-03-27,1.2,15,8,10,0.24
SHA202400138,2024-03-16,0.3,15,10,10,0.3
SHA202400139,2024-03-25,0.2,15,20,15,0.9
SHA202400140,2024-03-15,0.2,10,10,15,0.3
SHA202400141,2024-03-06,1.0,10,8,10,0.16
SHA202400142,2024-03-12,1.0,10,10,5,0.1
SHA202400143,2024-03-01,1.5,15,15,5,0.23
SHA202400144,2024-03-02,0.75,30,20,8,0.96
SHA202400145,2024-03-06,0.3,25,8,10,0.4
SHA202400146,2024-03-21,0.2,15,8,8,0.19
SHA202400147,2024-03-18,0.75,20,20,8,0.64
SHA202400148,2024-03-24,1.5,15,15,5,0.23
SHA202400149,2024-03-10,2.0,30,20,8,0.96
SHA202400150,2024-03-24,1.2,25,15,8,0.6
SHA202400151,2024-03-10,0.5,20,15,15,0.9
SHA202400152,2024-03-06,1.5,10,15,8,0.24
SHA202400153,2024-03-18,0.3,25,10,15,0.75
SHA202400154,2024-03-14,1.0,20,8,5,0.16
SHA202400155,2024-03-05,0.2,15,8,8,0.19
SHA202400156,2024-03-04,2.0,10,20,15,0.6
SHA202400157,2024-03-08,0.2,30,8,5,0.24
SHA202400158,2024-03-03,2.0,25,8,10,0.4
SHA202400159,2024-03-23,1.2,10,15,5,0.15
SHA202400160,2024-03-07,1.0,30,8,5,0.24
SHA202400161,2024-03-07,1.5,30,10,8,0.48
SHA202400162,2024-03-21,0.3,30,15,15,1.35
SHA202400163,2024-03-26,0.3,15,20,10,0.6
SHA202400164,2024-03-11,2.0,30,15,10,0.9
SHA202400165,2024-03-24,1.5,20,10,8,0.32
SHA202400166,2024-03-15,1.0,25,20,5,0.5
SHA202400167,2024-03-01,1.0,30,10,10,0.6
SHA202400168,2024-03-07,1.0,20,8,10,0.32
SHA202400169,2024-03-15,0.3,20,10,8,0.32
SHA202400170,2024-03-08,1.2,15,15,10,0.45
SHA202400171,2024-03-07,1.5,10,15,15,0.45
SHA202400172,2024-03-23,2.0,30,8,10,0.48
SHA202400173,2024-03-25,1.5,10,15,10,0.3
SHA202400174,2024-03-04,1.5,15,8,15,0.36
SHA202400175,2024-03-02,1.0,20,10,10,0.4
SHA202400176,2024-03-22,0.5,25,20,5,0.5
SHA202400177,2024-03-26,1.5,25,10,8,0.4
SHA202400178,2024-03-19,0.3,10,20,10,0.4
SHA202400179,2024-03-14,1.5,15,10,15,0.45
SHA202400180,2024-03-21,2.0,30,10,8,0.48
SHA202400181,2024-03-25,0.3,25,15,5,0.38
SHA202400182,2024-03-12,1.5,20,10,10,0.4
SHA202400183,2024-03-10,0.2,15,15,15,0.68
SHA202400184,2024-03-27,2.0,15,10,10,0.3
SHA202400185,2024-03-24,0.3,10,10,8,0.16
SHA202400186,2024-03-23,0.2,10,15,15,0.45
SHA202400187,2024-03-07,0.2,30,10,8,0.48
SHA202400188,2024-03-24,2.0,15,8,15,0.36
SHA202400189,2024-03-02,1.0,20,10,10,0.4
SHA202400190,2024-03-01,2.0,10,20,10,0.4
SHA202400191,2024-03-10,0.3,25,10,15,0.75
SHA202400192,2024-03-28,1.2,30,8,8,0.38
SHA202400193,2024-03-23,2.0,10,8,8,0.13
SHA202400194,2024-03-13,1.2,15,8,10,0.24
SHA202400195,2024-03-10,1.2,15,15,5,0.23
SHA202400196,2024-03-01,1.5,30,15,8,0.72
SHA202400197,2024-03-22,1.2,15,8,15,0.36
SHA202400198,2024-03-19,1.5,15,20,10,0.6
SHA202400199,2024-03-05,2.0,15,10,8,0.24
SHA202400200,2024-03-23,1.0,30,10,15,0.9
